Date,Temperature_C,Temperature_F
4/24/2019 14:10,15.7,60.26
4/24/2019 14:15,15.61,60.098
4/24/2019 14:20,15.74,60.332
4/24/2019 14:25,15.83,60.494
4/24/2019 14:30,15.96,60.728
4/24/2019 14:35,16.13,61.034
4/24/2019 14:40,16.17,61.106
4/24/2019 14:45,16.34,61.412
4/24/2019 14:50,16.39,61.502
4/24/2019 14:55,16.51,61.718
4/24/2019 15:00,16.56,61.808
4/24/2019 15:05,16.64,61.952
4/24/2019 15:10,16.77,62.186
4/24/2019 15:15,16.94,62.492
4/24/2019 15:20,17.11,62.798
4/24/2019 15:25,17.24,63.032
4/24/2019 15:30,17.41,63.338
4/24/2019 15:35,17.41,63.338
4/24/2019 15:40,17.46,63.428
4/24/2019 15:45,17.41,63.338
4/24/2019 15:50,17.5,63.5
4/24/2019 15:55,17.46,63.428
4/24/2019 16:00,17.54,63.572
4/24/2019 16:05,17.63,63.734
4/24/2019 16:10,17.72,63.896
4/24/2019 16:15,17.72,63.896
4/24/2019 16:20,17.84,64.112
4/24/2019 16:25,17.8,64.04
4/24/2019 16:30,17.84,64.112
4/24/2019 16:35,17.93,64.274
4/24/2019 16:40,17.97,64.346
4/24/2019 16:45,18.14,64.652
4/24/2019 16:50,18.19,64.742
4/24/2019 16:55,18.36,65.048
4/24/2019 17:00,18.44,65.192
4/24/2019 17:05,18.57,65.426
4/24/2019 17:10,18.57,65.426
4/24/2019 17:15,18.62,65.516
4/24/2019 17:20,18.7,65.66
4/24/2019 17:25,18.74,65.732
4/24/2019 17:30,18.74,65.732
4/24/2019 17:35,18.7,65.66
4/24/2019 17:40,18.87,65.966
4/24/2019 17:45,18.96,66.128
4/24/2019 17:50,19.09,66.362
4/24/2019 17:55,19.22,66.596
4/24/2019 18:00,19.35,66.83
4/24/2019 18:05,19.52,67.136
4/24/2019 18:10,19.65,67.37
4/24/2019 18:15,19.65,67.37
4/24/2019 18:20,19.73,67.514
4/24/2019 18:25,19.73,67.514
4/24/2019 18:30,19.73,67.514
4/24/2019 18:35,19.73,67.514
4/24/2019 18:40,19.77,67.586
4/24/2019 18:45,19.82,67.676
4/24/2019 18:50,19.86,67.748
4/24/2019 18:55,19.86,67.748
4/24/2019 19:00,19.86,67.748
4/24/2019 19:05,19.86,67.748
4/24/2019 19:10,19.9,67.82
4/24/2019 19:15,19.86,67.748
4/24/2019 19:20,19.9,67.82
4/24/2019 19:25,19.9,67.82
4/24/2019 19:30,19.86,67.748
4/24/2019 19:35,19.86,67.748
4/24/2019 19:40,19.82,67.676
4/24/2019 19:45,19.77,67.586
4/24/2019 19:50,19.69,67.442
4/24/2019 19:55,19.6,67.28
4/24/2019 20:00,19.52,67.136
4/24/2019 20:05,19.35,66.83
